date,value
31/12/2019,27
01/01/2020,0
02/01/2020,0
03/01/2020,17
04/01/2020,0
05/01/2020,15
06/01/2020,0
07/01/2020,0
08/01/2020,0
09/01/2020,0
10/01/2020,0
11/01/2020,0
12/01/2020,0
13/01/2020,1
14/01/2020,1
15/01/2020,1
16/01/2020,0
17/01/2020,5
18/01/2020,17
19/01/2020,136
20/01/2020,20
21/01/2020,153
22/01/2020,142
23/01/2020,97
24/01/2020,266
25/01/2020,453
26/01/2020,673
27/01/2020,797
28/01/2020,1767
29/01/2020,1480
30/01/2020,1757
31/01/2020,2001
01/02/2020,2121
02/02/2020,2608
03/02/2020,2818
04/02/2020,3243
05/02/2020,3909
06/02/2020,3751
07/02/2020,3218
08/02/2020,3442
09/02/2020,2618
10/02/2020,2992
11/02/2020,2563
12/02/2020,2072
13/02/2020,15151
14/02/2020,4215
15/02/2020,2560
16/02/2020,2162
17/02/2020,2067
18/02/2020,1995
19/02/2020,1864
20/02/2020,532
21/02/2020,996
22/02/2020,1085
23/02/2020,1010
24/02/2020,523
25/02/2020,795
26/02/2020,867
27/02/2020,1114
28/02/2020,1271
29/02/2020,1860
01/03/2020,1843
02/03/2020,2068
03/03/2020,1858
04/03/2020,2315
05/03/2020,2357
06/03/2020,3060
07/03/2020,4120
08/03/2020,3980
09/03/2020,4177
10/03/2020,4820
11/03/2020,5117
12/03/2020,7922
13/03/2020,9475
14/03/2020,10464
15/03/2020,12191
16/03/2020,12489
17/03/2020,14238
18/03/2020,17094
19/03/2020,20289
20/03/2020,31204
21/03/2020,31985
22/03/2020,34234
23/03/2020,34270
24/03/2020,44560
25/03/2020,42544
26/03/2020,53825
27/03/2020,61109
28/03/2020,65192
29/03/2020,62847
30/03/2020,57369
31/03/2020,64722
01/04/2020,74847
02/04/2020,77636
03/04/2020,77647
04/04/2020,82003
05/04/2020,85274
06/04/2020,66262
07/04/2020,73306
08/04/2020,77348
09/04/2020,85091
10/04/2020,87409
11/04/2020,89630
12/04/2020,75356
13/04/2020,68521
14/04/2020,65259
15/04/2020,76975
16/04/2020,78819
17/04/2020,84428
18/04/2020,82272
19/04/2020,79693
20/04/2020,70507
21/04/2020,74666
22/04/2020,87310
23/04/2020,66604
24/04/2020,78789
25/04/2020,73149
26/04/2020,99848
27/04/2020,81832
28/04/2020,66781
29/04/2020,72825
30/04/2020,79507
01/05/2020,85674
02/05/2020,88530
03/05/2020,80639
04/05/2020,77017
05/05/2020,77607
06/05/2020,79558
07/05/2020,88302
08/05/2020,92817
09/05/2020,89696
10/05/2020,88423
11/05/2020,74535
12/05/2020,71367
13/05/2020,87118
14/05/2020,87502
15/05/2020,97180
16/05/2020,98236
17/05/2020,92967
18/05/2020,79049
19/05/2020,87957
20/05/2020,96382
21/05/2020,104973
22/05/2020,108771
23/05/2020,106811
24/05/2020,98946
25/05/2020,92252
26/05/2020,90950
27/05/2020,94641
28/05/2020,103816
29/05/2020,119328
30/05/2020,123188
31/05/2020,127764
01/06/2020,105626
02/06/2020,102772
03/06/2020,113214
04/06/2020,126514
05/06/2020,127354
06/06/2020,133856
07/06/2020,125387
08/06/2020,113667
09/06/2020,108752
10/06/2020,126773
11/06/2020,135663
12/06/2020,136728
13/06/2020,144986
14/06/2020,132970
